ID;Item;Item Level;Classes;Category;Bind;Version
65039;Aberration's Leggings;372;None;Leather Legs;Binds when picked up;Heroic
59343;Aberration's Leggings;359;None;Leather Legs;Binds when picked up;Normal
71863;Accurate Shadow Spinel;85;None;Purple Gems;Binds when picked up;Normal
71852;Adept Lava Coral;85;None;Orange Gems;Binds when picked up;Normal
71633;Aella's Bottle;365;None;Trinket;Binds when picked up;Normal
59455;Agile Bio-Optic Killshades;359;None;Leather Head;Binds when picked up;Normal
65007;Akirus the Worm-Breaker;372;None;Two-Handed Maces;Binds when picked up;Heroic
59492;Akirus the Worm-Breaker;359;None;Two-Handed Maces;Binds when picked up;Normal
65023;Akmin-Kurai, Dominion's Shield;372;None;Off Hand;Binds when picked up;Heroic
59444;Akmin-Kurai, Dominion's Shield;359;None;Off Hand;Binds when picked up;Normal
52313;Alicite Pendant;300;None;Neck;Binds when picked up;Normal
72880;Alurmi's Ring;378;None;Finger;Binds when picked up;Normal
70733;Alysra's Razor;378;None;Daggers;Binds when picked up;Normal
70738;Alysrazor's Band;378;None;Finger;Binds when picked up;Normal
69801;Amani Armguards;353;None;Plate Wrist;Binds when picked up;Normal
69747;Amani Battle Bear;85;None;Mount Items;Binds when picked up;Normal
68825;Amani Dragonhawk;60;None;None;Binds when picked up;Normal
69579;Amani Headdress;353;None;Leather Head;Binds when picked up;Normal
69581;Amani Scepter of Rites;353;None;One-Handed Maces;Binds when picked up;Normal
69559;Amani'shi Bracers;353;None;Leather Wrist;Binds when picked up;Normal
71213;Amulet of Burning Brilliance;378;None;Neck;Binds when picked up;Normal
69635;Amulet of Protection;353;None;Neck;Binds when picked up;Normal
69605;Amulet of the Watcher;353;None;Neck;Binds when picked up;Normal
69001;Ancient Petrified Seed;378;None;Trinket;Binds when picked up;Normal
65017;Andoros, Fist of the Dragon King;372;None;One-Handed Maces;Binds when picked up;Heroic
59459;Andoros, Fist of the Dragon King;359;None;One-Handed Maces;Binds when picked up;Normal
72842;Annihilan Helm;378;None;Plate Head;Binds when picked up;Normal
68972;Apparatus of Khaz'goroth;378;None;Trinket;Binds when equipped;Normal
71029;Arachnaflame Treads;378;None;Plate Feet;Binds when picked up;Normal
71611;Arathar, the Eye of Flame;397;None;Bows;Binds when picked up;Heroic
71353;Arathar, the Eye of Flame;384;None;Bows;Binds when picked up;Normal
70991;Arbalest of Erupting Fury;378;None;Crossbows;Binds when picked up;Normal
72852;Archivist's Gloves;378;None;Cloth Hands;Binds when picked up;Normal
72853;Arcurion Legguards;378;None;Plate Legs;Binds when picked up;Normal
65120;Arion's Crown;372;None;Mail Head;Binds when picked up;Heroic
59504;Arion's Crown;359;None;Mail Head;Binds when picked up;Normal
69638;Arlokk's Claws;353;None;Fist Weapons;Binds when picked up;Normal
69610;Arlokk's Signet;353;None;Finger;Binds when picked up;Normal
69556;Armbands of the Bear Spirit;353;None;Leather Wrist;Binds when picked up;Normal
68823;Armored Razzashi Raptor;40;None;Mount Items;Binds when picked up;Normal
72897;Arrow of Time;378;None;Trinket;Binds when picked up;Normal
78527;Arrowflick Gauntlets;410;None;Mail Hands;Binds when picked up;Heroic
77162;Arrowflick Gauntlets;397;None;Mail Hands;Binds when picked up;Normal
78610;Arrowflick Gauntlets;384;None;Mail Hands;Binds when picked up;LFR
67150;Arrowsinger Legguards;359;None;Mail Legs;Binds when picked up;Normal
71854;Artful Lava Coral;85;None;Orange Gems;Binds when picked up;Normal
56562;Assassin's Chestplate;359;None;Leather Chest;Binds when picked up;Normal
78445;Ataraxis, Cudgel of the Warmaster;410;None;Two-Handed Maces;Binds when picked up;Heroic
77224;Ataraxis, Cudgel of the Warmaster;397;None;Two-Handed Maces;Binds when picked up;Normal
78453;Ataraxis, Cudgel of the Warmaster;384;None;Two-Handed Maces;Binds when picked up;LFR
70122;Aviana's Grips;365;None;Leather Hands;Binds when picked up;Normal
71779;Avool's Incendiary Shanker;378;None;Daggers;Binds when picked up;Normal
72814;Axe of the Tauren Chieftains;378;None;Two-Handed Axes;Binds when picked up;Normal
78465;Backbreaker Spaulders;416;None;Plate Shoulder;Binds when picked up;Heroic
77236;Backbreaker Spaulders;403;None;Plate Shoulder;Binds when picked up;Normal
78470;Backbreaker Spaulders;390;None;Plate Shoulder;Binds when picked up;LFR
71828;Balanced Elven Peridot;85;None;Green Gems;Binds when picked up;Normal
77130;Balanced Elven Peridot;85;None;Green Gems;Binds when picked up;Normal
71281;Balespider's Handwraps;378;Warlock;Cloth Hands;Binds when picked up;Normal
71282;Balespider's Hood;378;Warlock;Cloth Head;Binds when picked up;Normal
71283;Balespider's Leggings;378;Warlock;Cloth Legs;Binds when picked up;Normal
71285;Balespider's Mantle;378;Warlock;Cloth Shoulder;Binds when picked up;Normal
71284;Balespider's Robes;378;Warlock;Cloth Chest;Binds when picked up;Normal
58185;Band of Bees;359;None;Finger;Binds when picked up;Normal
71327;Band of Ghoulish Glee;365;None;Finger;Binds when picked up;Normal
70110;Band of Glittering Lights;365;None;Finger;Binds when picked up;Normal
78523;Band of Reconstruction;410;None;Finger;Binds when picked up;Heroic
77109;Band of Reconstruction;397;None;Finger;Binds when picked up;Normal
78601;Band of Reconstruction;384;None;Finger;Binds when picked up;LFR
58188;Band of Secret Names;359;None;Finger;Binds when picked up;Normal
69802;Band of the Gurubashi Berserker;353;None;Finger;Binds when equipped;Normal
64399;Battle Standard of Coordination;1;None;None;Binds when picked up;Normal
64402;Battle Standard of Coordination;1;None;None;Binds when picked up;Normal
65062;Battleplate of Ancient Kings;372;None;Plate Chest;Binds when picked up;Heroic
59316;Battleplate of Ancient Kings;359;None;Plate Chest;Binds when picked up;Normal
78727;Battleplate of Radiant Glory;410;Paladin;Plate Chest;Binds when picked up;Heroic
76874;Battleplate of Radiant Glory;397;Paladin;Plate Chest;Binds when picked up;Normal
