Name,Alias,Class
Abletu,Abletu,Druid
Artasz,Artasz,Death Knight
Axsel,Axsel,Warlock
Beásty,Beasty,Hunter
Bigpapapaul,Bigpapapaul,Hunter
Bladehero,Bladehero,Paladin
Bunniful,Bunniful,Druid
Bzorder,Bzorder,Druid
Cageymagey,Cageymagey,Mage
Catreene,Catreene,Paladin
Chainmale,Chainmale,Paladin
Darkfern,Darkfern,Death Knight
Elisesolis,Elisesolis,Paladin
Evilstrain,Evilstrain,Warlock
Ferrousblade,Ferrousblade,Death Knight
Flambeaü,Flambeau,Shaman
Gnoraa,Gnoraa,Warlock
Gnoya,Gnoya,Priest
Jwizard,Jwizard,Warlock
Kairiz,Kairiz,Rogue
Kelorlyn,Kelorlyn,Druid
Killiandra,Killiandra,Mage
Killit,Killit,Warlock
Killädin,Killadin,Paladin
Lilypalooza,Lilypalooza,Priest
Lorniras,Lorniras,Warlock
Lumosbringer,Lumosbringer,Paladin
Medullaa,Medullaa,Paladin
Meemeemeemee,Meemeemeemee,Shaman
Mettybeans,Mettybeans,Shaman
Miatotems,Miatotems,Shaman
Onlyflowers,Onlyflowers,Death Knight
Pacratt,Pacratt,Mage
Pastiry,Pastiry,Warrior
Prunejuuce,Prunejuuce,Warrior
Ryotto,Ryotto,Death Knight
Shetknight,Shetknight,Death Knight
Sighanama,Sighanama,Hunter
Sigofthenama,Sigofthenama,Death Knight
Snedpie,Snedpie,Priest
Soulreaverr,Soulreaverr,Death Knight
Strixien,Strixien,Druid
Swiftbladess,Swiftbladess,Rogue
Sõçkö,Socko,Rogue
Themrmoseby,Themrmoseby,Warrior
Tinyraider,Tinyraider,Mage
Ulvson,Ulvson,Druid
Uvite,Uvite,Mage
Vanarann,Vanarann,Druid
Vangoated,Vangoated,Shaman
Vanthulhu,Vanthulhu,Priest
Wamili,Wamili,Warlock
Zynrenner,Zynrenner,Shaman
